ISBN,Book-Title,Book-Author,Year-Of-Publication,Publisher
399135782,The Kitchen God's Wife,Amy Tan,1991,Putnam Pub Group
440234743,The Testament,John Grisham,1999,Dell
452264464,Beloved (Plume Contemporary Fiction),Toni Morrison,1994,Plume
609804618,Our Dumb Century: The Onion Presents 100 Years of Headlines from America's Finest News Source,The Onion,1999,Three Rivers Press
971880107,Wild Animus,Rich Shapero,2004,Too Far
345402871,Airframe,Michael Crichton,1997,Ballantine Books
345417623,Timeline,MICHAEL CRICHTON,2000,Ballantine Books
375759778,Prague : A Novel,ARTHUR PHILLIPS,2003,Random House Trade Paperbacks
446310786,To Kill a Mockingbird,Harper Lee,1988,Little Brown & Company
449005615,Seabiscuit: An American Legend,LAURA HILLENBRAND,2002,Ballantine Books
60168013,Pigs in Heaven,Barbara Kingsolver,1993,Harpercollins
553582909,Icebound,Dean R. Koontz,2000,Bantam Books
671888587,I'll Be Seeing You,Mary Higgins Clark,1994,Pocket
553582747,From the Corner of His Eye,Dean Koontz,2001,Bantam Books
425182908,Isle of Dogs,Patricia Cornwell,2002,Berkley Publishing Group
042518630X,Purity in Death,J.D. Robb,2002,Berkley Publishing Group
440223571,This Year It Will Be Different: And Other Stories,Maeve Binchy,1997,Dell
842342702,Left Behind: A Novel of the Earth's Last Days (Left Behind #1),Tim Lahaye,2000,Tyndale House Publishers
440225701,The Street Lawyer,JOHN GRISHAM,1999,Dell
671623249,LONESOME DOVE,Larry McMurtry,1986,Pocket
042511774X,Breathing Lessons,Anne Tyler,1994,Berkley Publishing Group
804106304,The Joy Luck Club,Amy Tan,1994,Prentice Hall (K-12)
140067477,The Tao of Pooh,Benjamin Hoff,1983,Penguin Books
345465083,Seabiscuit,LAURA HILLENBRAND,2003,Ballantine Books
1558531025,Life's Little Instruction Book (Life's Little Instruction Books (Paperback)),H. Jackson Brown,1991,Thomas Nelson
441783589,Starship Troopers,Robert A. Heinlein,1987,Ace Books
375410538,Anil's Ghost,MICHAEL ONDAATJE,2000,Knopf
316769487,The Catcher in the Rye,J.D. Salinger,1991,Little
8445071408,El Senor De Los Anillos: LA Comunidad Del Anillo (Lord of the Rings (Spanish)),J. R. R. Tolkien,2001,Minotauro
679429220,Midnight in the Garden of Good and Evil: A Savannah Story,John Berendt,1994,Random House
671867156,Pretend You Don't See Her,Mary Higgins Clark,1998,Pocket
312261594,Female Intelligence,Jane Heller,2001,St. Martin's Press
451166892,The Pillars of the Earth,Ken Follett,1996,Signet Book
067976397X,Corelli's Mandolin : A Novel,LOUIS DE BERNIERES,1995,Vintage
786868716,The Five People You Meet in Heaven,Mitch Albom,2003,Hyperion
446608653,The Alibi,Sandra Brown,2000,Warner Books
446612545,The Beach House,James Patterson,2003,Warner Books
446612618,A Kiss Remembered,Sandra Brown,2003,Warner Books
451208080,The Short Forever,Stuart Woods,2003,Signet Book
553584383,Dead Aim,IRIS JOHANSEN,2004,Bantam Books
671027360,Angels & Demons,Dan Brown,2001,Pocket Star
316735736,All He Ever Wanted: A Novel,Anita Shreve,2004,Back Bay Books
380619458,The Mosquito Coast,Paul Theroux,1990,Harper Mass Market Paperbacks (Mm)
671042858,The Girl Who Loved Tom Gordon,Stephen King,2000,Pocket
425184226,The Sum of All Fears,Tom Clancy,2002,Berkley Publishing Group
60929790,One Hundred Years of Solitude,Gabriel Garcia Marquez,1998,Perennial
60976845,Little Altars Everywhere: A Novel,Rebecca Wells,1996,Perennial
61099325,Coyote Waits (Joe Leaphorn/Jim Chee Novels),Tony Hillerman,1992,HarperTorch
671004573,Before I Say Good-Bye,Mary Higgins Clark,2001,Pocket
446601640,Slow Waltz in Cedar Bend,Robert James Waller,1994,Warner Books
038572179X,Atonement : A Novel,IAN MCEWAN,2003,Anchor
451410319,Hush,Anne Frasier,2002,Onyx Books
380778556,Rebecca,Daphne Du Maurier,1994,Avon
451525221,Scarlet Letter,Nathaniel Hawthorne,1993,Signet Book
385336772,Diary of a Mad Mom-To-Be,Laura Wolf,2003,Delta
044651747X,Puerto Vallarta Squeeze,Robert James Waller,1995,Warner Books
446527165,Wish You Well,David Baldacci,2000,Warner Books
671461494,The Hitchhiker's Guide to the Galaxy,Douglas Adams,1982,Pocket
385337639,Crow Lake (Today Show Book Club #7),Mary Lawson,2003,Delta
039575514X,My Antonia,Willa Cather,1995,Mariner Books
451206673,Pen Pals,Olivia Goldsmith,2002,Signet Book
330332775,Bridget Jones's Diary,Helen Fielding,1997,Picador (UK)
486284735,Pride and Prejudice (Dover Thrift Editions),Jane Austen,1995,Dover Publications
345354931,Night Mare (Xanth Novels (Paperback)),Piers Anthony,1990,Del Rey Books
553278223,The Martian Chronicles,RAY BRADBURY,1984,Spectra
3257233051,Veronika Deschliesst Zu Sterben / Vernika Decides to Die,Paolo Coelho,2002,Distribooks
60977493,The God of Small Things,Arundhati Roy,1998,Perennial
316602906,The Big Bad Wolf: A Novel,James Patterson,2003,Little
316693006,Four Blind Mice,James Patterson,2002,Little
345311396,Private Screening,Richard North Patterson,1994,Ballantine Books
345378490,Congo,Michael Crichton,1995,Ballantine Books
345404793,Protect and Defend,Richard North Patterson,2001,Ballantine Books
375400117,Memoirs of a Geisha,Arthur Golden,1997,Alfred A. Knopf
375705856,Plainsong (Vintage Contemporaries),KENT HARUF,2000,Vintage
380717018,Body of Evidence (Kay Scarpetta Mysteries (Paperback)),Patricia D. Cornwell,1992,Avon
380718332,All That Remains (Kay Scarpetta Mysteries (Paperback)),Patricia D. Cornwell,1993,Avon
385497466,The Brethren,JOHN GRISHAM,2000,Doubleday
385508042,The King of Torts,John Grisham,2003,Doubleday Books
385509456,The Curious Incident of the Dog in the Night-Time : A Novel,MARK HADDON,2003,Doubleday
385511612,Bleachers,John Grisham,2003,Doubleday
385730586,Sisterhood of the Traveling Pants,ANN BRASHARES,2003,Delacorte Books for Young Readers
446605484,Roses Are Red (Alex Cross Novels),James Patterson,2001,Warner Vision
446610399,The Rescue,Nicholas Sparks,2001,Warner Books
449006522,Manhattan Hunt Club,JOHN SAUL,2002,Ballantine Books
449911004,Patty Jane's House of Curl (Ballantine Reader's Circle),LORNA LANDVIK,1996,Ballantine Books
451162072,Pet Sematary,Stephen King,1994,Signet Book
451186648,Silent Snow,Steve Thayer,2000,Signet Book
452282152,Girl with a Pearl Earring,Tracy Chevalier,2001,Plume Books
051513290X,Summer of Storms,Judith Kelman,2002,Jove Books
553580388,The Patient,Michael Palmer,2001,Bantam Books
671023616,Postmortem (Kay Scarpetta Mysteries (Paperback)),Patricia Cornwell,1998,Pocket
671027387,Deception Point,Dan Brown,2002,Pocket
684848783,Tis : A Memoir,Frank McCourt,1999,Scribner
743486226,Angels & Demons,Dan Brown,2003,Atria
786863986,A Monk Swimming,Malachy McCourt,1998,Hyperion
140003180X,The Kalahari Typing School for Men (No. 1 Ladies' Detective Agency),ALEXANDER MCCALL SMITH,2004,Anchor
155874262X,Chicken Soup for the Soul (Chicken Soup for the Soul),Jack Canfield,1993,Health Communications
60987103,Wicked: The Life and Times of the Wicked Witch of the West,Gregory Maguire,1996,Regan Books
151008116,Life of Pi,Yann Martel,2002,Harcourt
525947647,Lies and the Lying Liars Who Tell Them: A Fair and Balanced Look at the Right,Al Franken,2003,Dutton Books
804111359,Secret History,DONNA TARTT,1993,Ballantine Books
1558744150,Chicken Soup for the Woman's Soul (Chicken Soup for the Soul Series (Paper)),Jack Canfield,1996,Health Communications
316782505,The Weight of Water,Anita Shreve,2001,Little
006102063X,Moving Pictures (Discworld Novels (Paperback)),Terry Pratchett,2002,HarperTorch
140620664,Mansfield Park (Penguin Popular Classics),Jane Austen,1994,Penguin Books Ltd
312890044,Moonheart (Newford),Charles de Lint,1994,Orb Books
440241413,Confessions of a Shopaholic,SOPHIE KINSELLA,2003,Dell
451409256,Making Minty Malone,Isabel Wolff,2000,Onyx Books
451523415,Little Women (Signet Classic),Louisa May Alcott,1988,Signet Classics
451526341,Animal Farm,George Orwell,2004,Signet
553280589,Eva Luna,Isabel Allende,1989,Bantam Books
684833395,Catch 22,Joseph Heller,1996,Simon & Schuster
374270325,A Man in Full,Tom Wolfe,1998,Farrar Straus & Giroux
375719180,The Miracle Life of Edgar Mint: A Novel,Brady Udall,2002,Vintage Books USA
440235502,October Sky: A Memoir,Homer Hickam,1999,Dell
044023722X,A Painted House,John Grisham,2001,Dell Publishing Company
1573225487,The Romance Reader,Pearl Abraham,1996,Riverhead Books
60977477,The Perfect Storm : A True Story of Men Against the Sea,Sebastian Junger,1999,Perennial
